<TIME>;<CLOSE>
100100;249,68
100200;249,87
100300;250,43
100400;250,61
100500;250,30
100600;250,12
100700;250,66
100800;251,48
100900;251,22
101000;251,40
101100;251,81
101200;251,50
101300;251,43
101400;251,61
101500;251,31
101600;251,38
101700;251,50
101800;250,95
101900;250,65
102000;250,38
102100;250,09
102200;249,75
102300;250,08
102400;249,85
102500;250,40
102600;250,67
102700;250,85
102800;250,75
102900;250,75
103000;250,26
103100;250,09
103200;249,85
103300;249,78
103400;250,05
103500;250,15
103600;250,16
103700;250,17
103800;250,18
103900;250,40
104000;250,36
104100;250,30
104200;250,26
104300;250,38
104400;250,49
104500;250,42
104600;250,12
104700;250,32
104800;250,18
104900;250,20
105000;250,15
105100;250,48
105200;250,11
105300;250,31
105400;250,22
105500;250,28
105600;250,25
105700;250,25
105800;250,48
105900;250,75
110000;250,62
110100;250,13
110200;250,00
110300;250,15
110400;250,17
110500;250,34
110600;250,20
110700;250,16
110800;250,50
110900;250,43
111000;250,29
111100;250,16
111200;250,15
111300;250,13
111400;250,10
111500;250,03
111600;249,80
111700;249,96
111800;249,90
111900;250,08
112000;250,06
112100;250,01
112200;250,04
112300;249,95
112400;249,95
112500;249,82
112600;249,95
112700;249,85
112800;249,94
112900;250,33
113000;250,11
113100;250,28
113200;250,09
113300;250,29
113400;250,60
113500;250,67
113600;250,74
113700;250,55
113800;250,51
113900;250,41
114000;250,34
114100;250,61
114200;250,65
114300;250,96
114400;250,95
114500;250,92
114600;250,99
114700;250,53
114800;250,70
114900;250,60
115000;250,32
115100;250,46
115200;250,28
115300;250,52
115400;250,40
115500;250,57
115600;250,64
115700;250,55
115800;250,53
115900;250,64
120000;250,59
120100;250,59
120200;250,80
120300;250,71
120400;250,67
120500;250,61
120600;250,64
120700;250,68
120800;250,62
120900;250,59
121000;250,72
121100;250,44
121200;250,35
121300;250,40
121400;250,28
121500;250,25
121600;250,20
121700;250,20
121800;250,09
121900;250,12
122000;250,17
122100;250,15
122200;250,18
122300;250,13
122400;250,09
122500;250,09
122600;250,09
122700;250,09
122800;250,18
122900;250,36
123000;250,36
123100;250,33
123200;250,25
123300;250,23
123400;250,26
123500;250,26
123600;250,24
123700;250,30
123800;250,35
123900;250,31
124000;250,32
124100;250,44
124200;250,54
124300;250,68
124400;250,47
124500;250,32
124600;250,21
124700;250,36
124800;250,40
124900;250,30
125000;250,35
125100;250,26
125200;250,30
125300;250,30
125400;250,27
125500;250,27
125600;250,30
125700;250,25
125800;250,35
125900;250,34
130000;250,30
130100;250,25
130200;250,45
130300;250,47
130400;250,31
130500;250,39
130600;250,31
130700;250,24
130800;250,28
130900;250,42
131000;250,50
131100;250,43
131200;250,48
131300;250,49
131400;250,79
131500;250,79
131600;250,55
131700;250,74
131800;250,20
131900;250,21
132000;250,20
132100;250,25
132200;250,24
132300;250,23
132400;250,31
132500;250,34
132600;250,35
132700;250,34
132800;250,27
132900;250,36
133000;250,32
133100;250,27
133200;250,31
133300;250,35
133400;250,44
133500;250,39
133600;250,48
133700;250,35
133800;250,45
133900;250,45
134000;250,43
134100;250,42
134200;250,42
134300;250,41
134400;250,36
134500;250,40
134600;250,40
134700;250,45
134800;250,45
134900;250,39
135000;250,32
135100;250,30
135200;250,30
135300;250,30
135400;250,34
135500;250,29
135600;250,33
135700;250,34
135800;250,35
135900;250,33
140000;250,33
140100;250,40
140200;250,35
140300;250,48
140400;250,49
140500;250,49
140600;250,40
140700;250,38
140800;250,30
140900;250,35
141000;250,39
141100;250,40
141200;250,40
141300;250,34
141400;250,35
141500;250,33
141600;250,43
141700;250,42
141800;250,39
141900;250,38
142000;250,52
142100;250,55
142200;250,69
142300;250,59
142400;250,50
142500;250,75
142600;250,65
142700;250,55
142800;250,51
142900;250,54
143000;250,61
143100;250,58
143200;250,50
143300;250,65
143400;250,60
143500;250,60
143600;250,55
143700;250,52
143800;250,56
143900;250,66
144000;250,68
144100;250,61
144200;250,60
144300;250,59
144400;250,59
144500;250,55
144600;250,63
144700;250,62
144800;250,69
144900;250,74
145000;250,74
145100;250,94
145200;250,92
145300;250,99
145400;251,40
145500;251,42
145600;251,49
145700;251,47
145800;251,36
145900;251,19
150000;251,18
150100;251,03
150200;251,13
150300;251,42
150400;251,24
150500;251,30
150600;251,32
150700;251,28
150800;251,23
150900;251,14
151000;251,08
151100;251,03
151200;251,09
151300;251,03
151400;250,91
151500;251,05
151600;251,10
151700;251,10
151800;251,20
151900;251,30
152000;251,25
152100;251,37
152200;251,31
152300;251,31
152400;251,35
152500;251,30
152600;251,32
152700;251,34
152800;251,30
152900;251,35
153000;251,33
153100;251,31
153200;251,34
153300;251,33
153400;251,30
153500;251,31
153600;251,34
153700;251,05
153800;251,15
153900;251,12
154000;251,15
154100;250,88
154200;251,05
154300;251,19
154400;251,15
154500;251,15
154600;251,13
154700;251,09
154800;251,10
154900;250,98
155000;250,95
155100;251,02
155200;251,00
155300;251,00
155400;250,87
155500;250,89
155600;251,09
155700;251,00
155800;250,91
155900;250,84
160000;250,83
160100;250,84
160200;250,90
160300;251,06
160400;251,13
160500;251,10
160600;251,06
160700;251,13
160800;251,11
160900;251,06
161000;250,90
161100;250,76
161200;250,90
161300;250,90
161400;250,80
161500;250,83
161600;250,80
161700;250,85
161800;250,60
161900;250,38
162000;250,55
162100;250,35
162200;250,24
162300;250,14
162400;250,25
162500;250,24
162600;250,25
162700;250,14
162800;250,09
162900;250,05
163000;250,09
163100;250,10
163200;250,15
163300;250,10
163400;250,20
163500;250,15
163600;250,25
163700;250,28
163800;250,05
163900;250,08
164000;250,04
164100;250,03
164200;250,06
164300;250,41
164400;250,25
164500;250,10
164600;250,18
164700;250,29
164800;250,40
164900;250,35
165000;250,34
165100;250,40
165200;250,40
165300;250,45
165400;250,63
165500;250,94
165600;250,98
165700;250,80
165800;250,73
165900;250,79
170000;250,75
170100;250,68
170200;250,76
170300;250,79
170400;250,84
170500;250,86
170600;250,85
170700;250,90
170800;250,90
170900;250,90
171000;250,88
171100;250,90
171200;250,94
171300;250,93
171400;251,12
171500;251,12
171600;251,19
171700;251,18
171800;251,16
171900;251,15
172000;251,12
172100;250,90
172200;250,99
172300;250,90
172400;250,99
172500;250,98
172600;250,97
172700;250,95
172800;250,98
172900;250,73
173000;250,66
173100;250,84
173200;250,90
173300;250,84
173400;250,85
173500;250,86
173600;250,85
173700;250,83
173800;250,80
173900;250,61
174000;250,64
174100;250,62
174200;250,75
174300;250,75
174400;250,75
174500;250,43
174600;250,63
174700;250,69
174800;250,60
174900;250,44
175000;250,18
175100;250,07
175200;250,18
175300;250,21
175400;250,24
175500;250,39
175600;250,32
175700;250,40
175800;250,40
175900;250,30
180000;250,30
180100;250,48
180200;250,46
180300;250,33
180400;250,23
180500;250,20
180600;250,15
180700;250,14
180800;250,21
180900;250,17
181000;250,14
181100;250,13
181200;250,12
181300;250,10
181400;250,13
181500;250,14
181600;250,22
181700;250,20
181800;250,25
181900;250,21
182000;250,22
182100;250,25
182200;250,36
182300;250,34
182400;250,39
182500;250,35
182600;250,31
182700;250,37
182800;250,22
182900;250,28
183000;250,26
183100;250,30
183200;250,29
183300;250,28
183400;250,27
183500;250,30
183600;250,39
183700;250,30
183800;250,28
183900;250,29
184000;250,20
184600;250,00
184700;250,00
184800;250,00
184900;250,00
185000;250,00
100100;249,10
100200;249,36
100300;249,60
100400;249,68
100500;249,68
100600;249,80
100700;249,74
100800;249,98
100900;249,88
101000;249,87
101100;249,99
101200;249,30
101300;249,66
101400;249,68
101500;249,95
101600;249,98
101700;249,74
101800;249,45
101900;249,59
102000;249,54
102100;249,65
102200;249,60
102300;249,58
102400;249,54
102500;249,30
102600;249,32
102700;249,31
102800;249,33
102900;249,30
103000;249,11
103100;249,39
103200;249,35
103300;249,40
103400;249,23
103500;249,09
103600;249,20
103700;249,29
103800;249,25
103900;249,26
104000;249,36
104100;249,39
104200;249,41
104300;249,25
104400;249,38
104500;249,45
104600;249,31
104700;249,35
104800;249,35
104900;249,47
105000;249,55
105100;249,60
105200;249,55
105300;249,40
105400;249,38
105500;249,60
105600;249,65
105700;249,62
105800;249,52
105900;249,48
110000;249,35
110100;249,38
110200;249,35
110300;249,38
110400;249,34
110500;249,25
110600;249,38
110700;249,30
110800;249,38
110900;249,30
111000;249,38
111100;249,35
111200;249,44
111300;249,55
111400;249,67
111500;249,55
111600;249,40
111700;249,39
111800;249,57
111900;249,53
112000;249,38
112100;249,50
112200;249,59
112300;249,50
112400;249,54
112500;249,44
112600;249,45
112700;249,54
112800;249,59
112900;249,49
113000;249,57
113100;249,46
113200;249,50
113300;249,60
113400;249,64
113500;249,75
113600;249,70
113700;249,74
113800;249,70
113900;249,70
114000;249,59
114100;249,40
114200;249,49
114300;249,43
114400;249,64
114500;249,67
114600;249,69
114700;249,67
114800;249,73
114900;249,74
115000;249,72
115100;249,80
115200;249,92
115300;249,87
115400;249,85
115500;249,88
115600;249,86
115700;249,90
115800;249,84
115900;249,83
120000;249,81
120100;249,89
120200;249,70
120300;249,62
120400;249,83
120500;249,71
120600;249,69
120700;249,64
120800;249,60
120900;249,70
121000;249,70
121100;249,75
121200;249,70
121300;249,62
121400;249,65
121500;249,69
121600;249,91
121700;249,92
121800;249,76
121900;249,85
122000;249,99
122100;249,95
122200;249,93
122300;249,90
122400;249,92
122500;249,93
122600;249,93
122700;249,96
122800;249,96
122900;249,73
123000;249,85
123100;249,85
123200;249,80
123300;249,65
123400;249,64
123500;249,79
123600;249,66
123700;249,68
123800;249,59
123900;249,59
124000;249,40
124100;249,24
124200;249,36
124300;249,51
124400;249,54
124500;249,50
124600;249,52
124700;249,53
124800;249,46
124900;249,40
125000;249,43
125100;249,40
125200;249,35
125300;249,40
125400;249,53
125500;249,55
125600;249,30
125700;249,30
125800;249,39
125900;249,44
130000;249,46
130100;249,48
130200;249,37
130300;249,36
130400;249,37
130500;249,30
130600;249,26
130700;249,16
130800;249,09
130900;249,20
131000;249,20
131100;249,20
131200;249,19
131300;249,19
131400;249,19
131500;249,17
131600;249,26
131700;249,17
131800;249,17
131900;249,19
132000;249,18
132100;249,20
132200;249,20
132300;249,20
132400;249,15
132500;249,12
132600;249,10
132700;249,08
132800;248,89
132900;248,88
133000;248,85
133100;248,81
133200;248,85
133300;248,80
133400;249,01
133500;249,13
133600;249,30
133700;249,50
133800;249,60
133900;249,50
134000;249,47
134100;249,43
134200;249,39
134300;249,33
134400;249,37
134500;249,50
134600;249,51
134700;249,50
134800;249,50
134900;249,50
135000;249,50
135100;249,71
135200;249,31
135300;249,37
135400;249,35
135500;249,44
135600;249,39
135700;249,43
135800;249,43
135900;249,35
140000;249,33
140100;249,01
140200;249,04
140300;249,18
140400;249,10
140500;249,08
140600;249,19
140700;249,18
140800;249,15
140900;249,09
141000;248,95
141100;249,08
141200;248,90
141300;248,90
141400;249,00
141500;249,00
141600;248,74
141700;248,59
141800;248,51
141900;248,73
142000;248,72
142100;248,76
142200;248,61
142300;248,50
142400;248,50
142500;248,49
142600;248,38
142700;248,02
142800;248,06
142900;248,04
143000;248,05
143100;247,83
143200;247,64
143300;247,40
143400;247,00
143500;246,78
143600;247,10
143700;248,50
143800;248,04
143900;247,63
144000;247,72
144100;247,62
144200;247,80
144300;248,42
144400;248,30
144500;248,24
144600;248,12
144700;247,99
144800;247,88
144900;247,64
145000;247,70
145100;247,72
145200;247,83
145300;247,71
145400;247,65
145500;247,04
145600;246,80
145700;245,99
145800;245,14
145900;245,78
150000;245,70
150100;245,50
150200;245,10
150300;244,35
150400;242,50
150500;243,04
150600;244,12
150700;243,35
150800;242,91
150900;242,49
151000;241,46
151100;242,49
151200;242,62
151300;243,82
151400;244,00
151500;244,37
151600;243,80
151700;243,32
151800;244,63
151900;244,15
152000;244,70
152100;245,24
152200;245,80
152300;245,37
152400;245,01
152500;244,39
152600;244,28
152700;245,47
152800;245,62
152900;245,25
153000;245,41
153100;244,50
153200;244,33
153300;244,29
153400;244,79
153500;244,50
153600;244,81
153700;244,57
153800;244,53
153900;244,68
154000;245,97
154100;246,09
154200;245,77
154300;246,03
154400;246,43
154500;245,83
154600;246,00
154700;245,83
154800;245,70
154900;245,67
155000;245,55
155100;245,44
155200;245,42
155300;245,35
155400;245,10
155500;245,15
155600;245,30
155700;245,31
155800;245,23
155900;245,01
160000;244,60
160100;244,89
160200;244,92
160300;245,11
160400;245,58
160500;245,56
160600;245,17
160700;245,19
160800;245,24
160900;244,84
161000;244,60
161100;244,86
161200;244,83
161300;244,79
161400;244,64
161500;244,63
161600;244,89
161700;244,66
161800;244,14
161900;243,62
162000;243,58
162100;243,41
162200;243,45
162300;243,82
162400;244,32
162500;243,90
162600;244,03
162700;244,84
162800;244,84
162900;245,09
163000;245,23
163100;244,75
163200;244,85
163300;244,90
163400;244,93
163500;244,79
163600;245,00
163700;244,73
163800;244,70
163900;244,53
164000;244,35
164100;244,41
164200;244,72
164300;244,74
164400;244,80
164500;244,95
164600;245,26
164700;245,29
164800;245,24
164900;245,18
165000;245,29
165100;245,55
165200;245,36
165300;245,74
165400;245,71
165500;245,44
165600;245,60
165700;245,69
165800;246,43
165900;246,51
170000;246,60
170100;246,79
170200;246,68
170300;246,70
170400;247,11
170500;247,69
170600;247,52
170700;247,06
170800;247,20
170900;247,28
171000;247,47
171100;247,50
171200;247,40
171300;247,67
171400;247,54
171500;247,50
171600;247,53
171700;247,72
171800;247,71
171900;247,14
172000;246,82
172100;246,69
172200;246,24
172300;246,15
172400;246,46
172500;246,38
172600;246,60
172700;246,84
172800;247,14
172900;247,07
173000;247,01
173100;247,11
173200;247,04
173300;246,96
173400;246,71
173500;246,52
173600;246,12
173700;246,46
173800;246,70
173900;247,08
174000;246,86
174100;246,85
174200;247,07
174300;247,07
174400;246,99
174500;246,90
174600;246,80
174700;246,66
174800;246,57
174900;246,50
175000;246,75
175100;246,84
175200;246,88
175300;246,90
175400;246,85
175500;246,75
175600;246,82
175700;246,74
175800;246,70
175900;246,69
180000;246,69
180100;246,71
180200;246,77
180300;246,75
180400;246,71
180500;246,60
180600;246,31
180700;246,20
180800;246,33
180900;246,19
181000;246,15
181100;246,30
181200;246,21
181300;246,30
181400;246,12
181500;246,10
181600;246,06
181700;246,30
181800;246,18
181900;246,20
182000;246,32
182100;246,51
182200;246,35
182300;246,07
182400;245,76
182500;246,14
182600;246,11
182700;245,77
182800;245,75
182900;245,85
183000;245,77
183100;245,60
183200;245,60
183300;245,69
183400;245,76
183500;245,55
183600;245,68
183700;245,72
183800;245,83
183900;245,80
184000;246,00
184600;246,00
184700;246,00
184800;246,00
184900;246,00
185000;246,00
